,rpm_variation,harsh_braking_count,idling_time,fuel_consumption,acceleration_smoothness,eco_score
104,1687,0,0,5,0,92
105,2082,1,10,6,0,60
106,3120,1,7,7,0,41
107,1922,0,9,7,0,66
108,1980,4,14,9,0,25
109,1747,1,10,8,0,48
110,500,5,6,8,0,53
111,1781,2,6,7,0,64
112,1842,2,8,6,0,44
113,3524,3,12,8,0,22
114,1665,4,19,9,0,34
115,2011,0,18,8,0,67
116,1775,5,13,8,0,39
117,981,4,10,8,0,45
118,2599,3,12,8,0,35
119,2326,2,11,8,0,59
120,2353,1,18,8,0,48
121,1163,3,4,8,0,54
122,2781,2,13,9,0,28
123,818,3,17,6,0,69
124,2210,4,8,8,0,40
125,3333,3,18,12,0,4
126,1106,6,10,9,0,31
127,1403,4,5,9,0,34
128,1869,3,10,7,0,46
129,1447,5,17,9,0,25
130,714,4,3,6,0,64
131,1847,8,8,9,0,0
132,1056,0,13,5,1,92
133,2131,6,14,8,0,17
134,1156,2,12,5,0,76
135,2884,3,14,7,0,40
136,1251,1,1,4,0,82
137,1574,3,8,6,0,62
138,2369,1,9,7,0,59
139,938,4,8,8,0,48
140,1959,3,9,7,0,46
141,2714,3,16,7,0,24
142,674,1,0,6,0,75
143,1929,2,11,7,0,56
144,1981,2,5,8,0,55
145,2347,5,12,10,0,0
146,934,0,6,6,0,78
147,875,1,9,6,0,71
148,2165,1,8,8,0,47
149,2007,2,11,6,0,50
150,1975,4,15,11,0,19
151,2042,3,3,8,0,54
152,1323,1,7,6,0,81
153,1962,1,5,7,0,65
154,2005,1,0,7,0,73
155,1299,2,5,7,0,62
156,3106,4,17,9,0,28
157,2131,4,11,11,0,3
158,966,1,11,6,0,72
159,2259,0,10,7,0,56
160,1117,1,4,4,0,82
161,2350,2,13,11,0,28
162,2611,6,9,9,0,15
163,1225,5,17,8,0,20
164,2474,1,6,8,1,57
165,2088,1,2,7,0,64
166,2375,4,13,7,0,47
167,3127,2,6,9,0,28
168,1628,1,12,6,0,63
169,1272,2,14,5,0,68
170,1177,4,0,6,0,62
171,1228,0,25,7,0,64
172,1746,4,6,8,0,45
173,2038,1,12,6,0,50
174,1993,3,9,7,0,45
175,2379,6,16,9,0,19
176,1809,5,10,7,0,42
177,2817,4,20,9,0,9
178,1614,4,5,7,0,43
179,3704,4,18,7,0,21
180,2237,4,3,7,0,51
181,1199,2,10,6,0,60
182,1050,6,8,8,0,39
183,2137,1,12,6,0,64
184,1643,3,13,8,0,46
185,2299,3,14,8,0,34
186,2131,1,7,7,0,59
187,1749,4,11,8,0,44
188,1207,1,8,6,0,77
189,739,5,8,9,0,45
190,1487,1,22,6,0,64
191,2399,5,10,8,0,17
192,1949,4,10,9,0,37
193,927,3,13,8,0,54
194,1921,0,5,8,0,59
195,2069,2,11,5,0,55
196,1181,5,4,6,0,56
197,1907,4,12,8,0,43
198,1840,0,3,3,0,88
199,999,2,12,6,0,52
200,2050,6,22,10,0,18
201,2192,4,22,8,0,22
202,2558,3,9,9,0,17
203,2537,2,0,9,0,44
204,835,5,15,7,0,36
205,1143,2,8,5,0,70
206,2160,3,6,7,0,54
207,2159,2,11,7,0,46
208,2160,3,12,11,0,11
209,4496,4,16,11,0,6
210,2199,3,9,6,0,44
211,2594,7,13,10,0,10
212,2467,6,12,9,0,7
213,2255,4,9,8,0,47
214,1579,4,16,10,0,36
215,2331,4,8,7,0,36
216,1259,4,5,7,0,41
217,1634,3,14,8,0,35
218,1460,4,15,9,0,32
219,1857,3,21,6,0,55
220,3420,3,24,9,0,10
221,500,1,16,8,0,65
222,2280,2,13,9,0,41
223,671,3,11,9,0,53
224,1469,2,6,5,0,72
225,2562,1,20,7,0,38
226,1844,1,11,7,0,63
227,1045,1,16,8,0,55
228,1299,3,11,7,0,56
229,2275,5,16,10,0,18
230,1288,0,9,6,0,74
231,1951,2,7,9,0,57
232,1831,2,13,8,0,53
233,1343,2,21,8,0,50
234,3300,0,5,7,0,60
235,2243,5,12,8,0,28
236,500,2,1,8,0,75
237,1930,2,13,7,0,50
238,1336,4,15,7,0,39
239,2396,6,18,11,0,17
240,1245,3,10,6,0,67
241,1719,1,7,7,0,72
242,2153,3,12,8,0,42
243,2406,2,13,7,0,37
244,959,4,12,8,0,46
245,1565,1,6,7,0,58
246,1467,1,1,5,0,78
247,1342,1,14,6,0,63
248,3035,5,14,9,0,23
249,2083,3,4,9,0,43
250,917,3,14,7,0,62
251,2442,2,13,8,0,44
252,3285,3,9,8,0,26
253,2522,6,10,11,0,22
254,736,2,15,7,0,64
255,1461,3,9,7,0,55
256,2686,0,0,8,0,49
257,1304,3,11,8,0,50
258,2110,3,12,10,0,33
259,2342,5,14,9,0,26
260,1151,3,8,7,0,72
261,1758,3,11,8,0,41
262,500,4,16,6,0,63
263,1082,4,2,6,0,71
264,1623,2,13,7,0,47
265,926,0,12,7,0,59
266,2942,1,7,8,0,56
267,798,4,6,7,0,48
268,1491,1,13,7,0,47
269,1891,1,15,6,0,65
270,2808,8,12,12,0,0
271,794,4,11,7,0,45
272,2614,2,5,8,0,51
273,1807,4,9,10,0,32
274,1112,7,16,10,0,6
275,2123,1,13,10,0,44
276,1939,4,15,8,0,35
277,1379,1,9,4,0,76
278,1848,3,22,10,0,19
279,1530,2,3,7,0,63
280,1879,1,6,6,0,72
281,2263,4,13,9,0,23
282,2910,1,7,8,0,38
283,933,0,7,6,0,70
284,3293,3,15,8,0,21
285,500,2,6,7,0,74
286,1693,2,19,6,0,45
287,2211,1,4,5,0,66
288,1996,4,9,8,0,43
289,1364,2,16,6,0,59
290,1654,5,20,9,0,23
291,1454,2,8,6,0,56
292,1387,2,16,9,0,41
293,2394,3,7,7,0,50
294,2049,5,4,8,0,30
295,1314,2,15,8,0,51
296,2429,2,2,7,0,57
297,2015,2,10,7,0,41
298,2369,2,19,10,0,30
299,2240,2,5,8,0,41
300,1219,3,5,9,0,33
301,1407,1,4,5,0,65
302,2323,2,4,6,0,51
303,2227,1,3,7,0,50
304,1785,4,5,9,0,43
305,1882,5,18,8,0,31
306,2694,4,4,11,0,18
307,1385,0,11,6,0,79
308,2182,3,3,8,0,52
309,1658,2,11,9,0,45
310,1647,1,13,6,0,71
311,2569,3,11,7,0,52
312,2377,7,10,12,0,4
313,2369,3,11,9,0,27
314,2713,3,8,9,0,23
315,1814,5,13,9,0,34
316,2277,3,5,10,0,33
317,1582,0,9,5,0,75
318,2026,1,7,6,0,71
319,1708,5,17,9,0,33
320,1867,1,14,5,0,67
321,2216,1,10,6,0,55
322,1227,4,11,8,0,48
323,3264,3,7,7,0,32
324,1095,2,6,6,0,70
325,950,2,12,5,0,56
326,2610,2,13,8,0,41
327,2354,2,9,8,0,37
328,2236,3,11,8,0,19
329,2239,3,4,9,0,43
330,1791,2,11,9,0,51
331,1171,3,9,6,0,68
332,1853,3,17,9,0,34
333,1325,3,13,8,0,42
334,2482,2,8,9,0,50
335,1697,1,11,6,0,66
336,1222,5,23,9,0,16
337,1575,3,16,8,0,41
338,2089,1,6,7,0,55
339,1405,1,11,6,0,56
340,1224,3,26,7,0,36
341,1970,4,17,8,0,34
342,1971,0,7,8,0,67
343,1445,3,17,7,0,51
344,1470,5,5,8,0,42
345,1962,2,5,8,0,50
346,786,4,3,8,0,50
347,814,2,2,7,0,74
348,1297,4,12,7,0,57
349,1650,1,2,10,0,41
350,2017,2,5,7,0,52
351,2832,3,3,8,0,36
352,2400,2,12,8,0,52
353,1688,6,9,10,0,26
354,1786,3,16,7,0,43
355,1098,3,10,7,0,68
356,1787,3,18,9,0,37
357,1597,1,7,7,0,65
358,2025,3,15,8,0,45
359,1220,2,11,7,0,64
360,2163,7,19,11,0,12
361,2872,3,16,9,0,19
362,1723,3,12,8,0,35
363,2081,7,18,9,0,14
364,2283,3,14,10,0,41
365,1519,3,3,8,0,67
366,1956,6,17,9,0,17
367,1808,3,15,10,0,20
368,1868,4,12,6,0,42
369,1258,3,4,7,0,44
370,1817,4,15,7,0,33
371,2148,0,1,4,0,78
372,2815,2,2,8,0,59
373,2471,1,15,10,0,36
374,3307,4,15,9,0,16
375,1262,1,5,8,0,72
376,2410,0,10,6,0,63
377,1928,1,8,6,0,66
378,3332,0,12,8,0,36
379,1234,3,26,8,0,40
380,1212,0,3,5,0,91
381,1380,2,8,7,0,58
382,500,1,3,6,0,93
383,1431,2,15,8,0,61
384,1268,0,6,7,0,63
385,1905,7,15,11,0,0
386,2039,3,9,9,0,35
387,3113,2,7,8,0,51
388,2465,4,10,10,0,23
389,1396,1,7,9,0,67
390,1171,3,15,9,0,44
391,2144,0,12,9,0,43
392,875,5,14,7,0,43
393,3082,4,20,10,0,0
394,2625,2,13,7,0,32
395,1471,0,4,3,0,87
396,600,4,17,9,0,34
397,2747,0,12,7,0,57
398,1719,2,11,9,0,36
399,2666,5,12,10,0,17
400,683,3,4,8,0,71
401,1380,1,6,6,0,68
402,1803,1,0,5,0,74
403,1832,5,12,10,0,22
404,1484,2,10,7,0,72
405,2235,0,13,7,0,54
406,1052,2,7,8,0,65
407,1700,2,11,7,0,50
408,1884,8,23,9,0,13
409,2160,3,5,8,0,40
410,2298,3,14,8,0,58
411,1012,2,2,5,0,75
412,726,2,5,5,0,79
413,2694,1,4,6,0,42
414,2032,3,8,9,0,23
415,1276,1,5,5,0,81
416,2885,4,14,11,0,12
417,1880,4,11,7,0,31
418,2625,5,8,8,0,32
419,1847,3,4,5,0,66
420,3242,7,19,12,0,0
421,3028,2,15,5,0,47
422,1625,2,10,6,0,58
423,2480,1,0,6,0,60
424,2251,7,13,10,0,0
425,2758,8,14,11,0,13
426,1124,2,7,8,0,68
427,2280,5,20,10,0,4
428,2540,3,15,10,0,23
429,568,4,16,7,0,48
430,971,2,15,8,0,47
431,500,3,9,8,0,53
432,1611,2,8,6,0,65
433,2302,1,9,6,0,64
434,2851,3,8,8,0,26
435,1851,4,9,8,0,43
436,2940,1,13,7,1,52
437,833,2,13,5,0,81
438,607,4,2,8,0,50
439,1761,3,10,7,0,56
440,2068,2,16,6,0,55
441,1777,2,14,6,0,60
442,500,4,13,8,0,49
443,1737,4,20,9,0,39
444,886,2,8,5,0,71
445,2268,1,8,6,0,54
446,2056,5,3,9,0,27
447,1142,0,7,6,0,78
448,1440,4,22,10,0,24
449,1058,0,7,5,0,87
450,1756,3,12,9,0,42
451,2468,4,11,8,0,31
452,1109,2,12,8,0,49
453,2152,3,8,7,0,39
454,1428,2,19,8,0,51
455,1244,1,14,6,0,76
456,1725,5,17,11,0,10
457,1075,2,16,7,0,59
458,1412,2,10,6,0,59
459,961,2,7,6,0,51
460,3175,4,14,10,0,22
461,1824,6,21,8,0,19
462,1310,0,6,6,0,83
463,1949,4,11,9,0,23
464,1721,3,12,7,0,45
465,1645,3,1,7,0,59
466,2229,4,7,8,0,46
467,2330,4,9,7,0,43
468,1428,0,13,4,0,92
469,1396,1,11,8,0,70
470,1607,4,7,9,0,45
471,500,1,10,8,0,76
472,739,1,9,6,0,77
473,2756,2,7,8,0,36
474,2951,1,6,8,0,45
475,1625,3,23,8,0,45
476,2203,2,1,3,0,79
477,2017,4,10,8,0,35
478,3955,3,15,9,0,24
479,2583,2,6,6,0,57
480,1710,7,13,7,0,35
481,1131,1,3,7,0,67
482,675,1,10,6,0,72
483,1942,5,15,9,0,18
484,1270,5,8,9,0,33
485,804,1,16,8,0,49
486,1347,2,5,6,0,69
487,1042,2,12,7,0,72
488,2980,5,7,10,0,13
489,2417,3,14,10,0,28
490,1794,4,15,10,0,30
491,2835,1,5,7,0,56
492,1854,4,14,8,0,33
493,1197,3,13,8,0,49
494,2866,3,10,7,0,40
495,2177,3,15,10,0,25
496,1073,3,7,8,0,51
497,1666,2,16,7,0,52
498,1187,2,13,8,0,61
499,832,2,4,8,0,52
500,2448,1,12,8,0,38
501,3136,5,12,9,0,4
502,821,2,7,6,0,64
503,2194,1,13,6,0,69
504,1344,0,13,8,0,52
505,1459,2,0,4,0,80
506,1385,5,13,6,0,45
507,1195,4,12,9,0,39
508,1833,4,10,7,0,48
509,1218,1,10,5,0,68
510,1989,3,16,9,0,22
511,1764,1,2,7,0,74
512,1632,5,10,8,0,42
513,1164,1,5,6,0,64
514,1396,1,12,7,0,60
515,2328,3,8,9,0,24
516,2150,3,15,8,0,54
517,1115,3,16,7,0,46
518,1869,3,10,9,0,40
519,2325,3,12,5,0,43
520,631,2,9,7,0,64
521,2180,4,23,9,0,27
522,1336,3,6,9,0,44
523,2199,2,2,9,0,48
524,1265,1,0,7,1,74
525,536,2,11,9,0,61
526,660,2,11,9,0,48
527,1833,2,4,6,0,72
528,1981,3,7,8,0,37
529,1166,3,16,6,0,64
530,2247,2,14,6,0,53
531,636,0,6,5,1,98
532,1753,0,5,6,0,76
533,952,1,6,7,0,81
534,1343,3,13,6,0,38
535,1833,6,17,9,0,29
536,1197,2,14,7,0,45
537,1530,1,12,6,1,71
538,2504,1,5,6,0,44
539,1396,1,9,7,0,56
540,2384,4,15,8,0,24
541,1009,3,8,6,0,60
542,2170,2,10,8,0,57
543,2809,4,9,9,0,32
544,500,1,4,6,0,82
545,1242,1,3,8,0,68
546,2203,4,7,5,0,56
547,1657,5,12,10,0,31
548,2059,4,9,9,0,24
549,1377,0,12,6,0,78
550,1860,4,9,8,0,30
551,1691,1,8,5,0,66
552,2617,2,11,7,0,40
553,1978,2,6,8,0,40
554,2036,2,8,7,0,46
555,1511,1,0,7,0,61
556,1458,5,19,7,0,39
557,1497,9,20,10,0,0
558,2076,6,29,10,0,12
559,1505,1,8,9,0,50
560,2002,3,14,9,0,34
561,3252,2,15,8,0,39
562,2409,2,11,9,0,42
563,1571,6,7,10,0,21
564,2640,4,23,10,0,7
565,1514,1,8,6,0,73
566,500,2,8,7,0,64
567,1094,3,12,7,0,38
568,500,2,18,8,0,62
569,1553,3,15,8,0,39
570,1812,1,13,9,0,44
571,2973,7,15,9,0,0
572,2028,2,18,7,0,39
573,1646,4,11,7,0,45
574,2380,5,7,8,0,26
575,500,1,8,8,0,77
576,1964,3,11,6,0,36
577,2339,4,7,9,0,29
578,764,5,11,8,0,37
579,2600,2,6,4,0,77
580,2036,2,16,7,0,64
581,1509,3,9,6,0,69
582,2242,2,13,5,0,70
583,3389,2,14,9,0,35
584,1927,3,16,8,0,34
585,1973,3,14,10,0,38
586,1478,5,15,8,0,45
587,1205,2,0,5,0,80
588,2381,5,5,9,0,19
589,1200,3,7,7,0,60
590,1850,4,9,9,0,37
591,1465,2,7,6,0,69
592,2135,2,11,7,0,45
593,2033,4,13,7,0,38
594,2526,2,3,7,0,57
595,1442,0,12,7,0,57
596,1611,1,10,7,0,61
597,1114,0,6,6,0,89
598,1488,7,16,8,0,29
599,2064,1,15,7,0,47
600,2329,6,15,9,0,3
601,1154,2,13,6,0,75
602,2408,3,4,9,0,42
603,2748,6,14,11,0,7
604,2089,2,8,7,0,45
605,3113,3,8,10,0,26
606,1258,1,8,7,0,57
607,928,5,15,8,0,41
608,554,0,9,6,0,88
609,2847,2,12,6,0,44
610,2258,0,0,7,0,67
611,1761,4,14,9,0,37
612,1995,5,16,10,0,34
613,1012,0,2,5,0,86
614,3512,3,14,9,0,14
615,1890,3,16,8,0,35
616,1876,4,13,7,0,37
617,2308,5,12,9,0,23
618,2136,4,12,8,0,35
619,1956,1,4,9,0,65
620,1246,7,14,9,0,22
621,2130,4,14,10,0,19
622,3117,3,18,8,0,41
623,2741,2,14,7,0,46
624,2915,5,4,10,0,24
625,1442,1,4,8,0,75
626,1107,2,7,7,0,70
627,1711,6,17,10,0,9
628,1839,1,9,8,0,56
629,2565,7,30,12,0,0
630,615,2,13,8,0,60
631,2870,2,12,7,0,28
632,1689,2,13,7,0,52
633,1501,3,12,7,0,44
634,1091,4,18,7,1,51
635,641,2,9,9,0,49
636,2376,1,3,6,0,50
637,1851,5,16,11,0,14
638,897,2,15,8,0,57
639,893,7,17,10,0,23
640,1564,7,14,9,0,37
641,2968,5,26,10,0,7
642,1618,1,3,7,0,67
643,747,1,9,6,0,78
644,1627,2,13,7,0,52
645,1609,2,9,7,0,54
646,500,2,10,7,0,62
647,1761,3,10,6,0,53
648,1638,5,17,9,0,27
649,2287,2,11,8,0,60
650,3094,3,13,9,0,30
651,2588,3,8,6,0,37
652,1611,2,12,8,1,61
653,1025,2,2,5,0,78
654,3601,9,21,11,0,0
655,1841,6,28,11,0,6
656,1809,5,16,7,0,19
657,1783,2,10,7,0,63
658,1938,2,13,7,0,57
659,1698,0,8,8,0,70
660,1398,7,24,11,0,0
661,1417,4,19,10,0,26
662,1777,2,9,7,0,51
663,1419,3,6,7,0,49
664,1301,6,16,9,0,18
665,1874,2,11,8,0,48
666,1621,4,14,7,0,54
667,2852,2,15,10,0,18
668,500,1,18,5,0,74
669,2564,2,8,8,0,33
670,2672,0,1,6,0,80
671,500,1,4,6,0,76
672,1560,3,8,8,0,48
673,1539,1,14,8,0,49
674,814,3,2,7,0,66
675,1255,2,11,8,0,65
676,1022,2,4,8,0,58
677,3026,3,10,8,0,27
678,2454,4,10,11,0,24
679,2690,2,1,8,0,48
680,2305,2,13,8,0,50
681,1009,1,4,6,0,68
682,1432,2,11,7,0,52
683,2142,3,21,6,0,37
684,944,3,6,9,0,41
685,2299,1,12,7,0,37
686,1631,4,9,6,0,44
687,1537,1,1,5,1,93
688,2297,2,18,9,0,21
689,2110,2,11,8,0,45
690,1547,3,13,8,0,55
691,2611,2,3,8,0,47
692,1043,2,6,7,0,66
693,2231,0,5,7,0,65
694,2215,1,8,7,0,61
695,1583,2,14,7,0,39
696,2028,4,15,10,0,24
697,924,0,5,6,0,85
698,2446,2,6,5,0,62
699,1670,2,8,7,0,47
700,1434,4,11,8,0,41
701,2534,1,6,8,0,51
702,1306,1,8,5,0,91
703,814,2,16,8,0,52
704,710,1,6,7,0,70
705,2224,3,7,10,0,39
706,903,1,11,6,0,88
707,3028,6,11,9,0,16
708,500,2,9,6,0,75
709,2987,4,6,9,0,22
710,1947,2,10,7,0,44
711,1732,3,10,8,0,53
712,1418,7,11,9,0,5
713,2079,2,7,6,0,62
714,1773,2,8,7,0,58
715,2572,2,19,6,0,59
716,1879,2,8,7,0,46
717,1905,2,19,8,0,34
718,1545,3,13,8,0,48
719,1760,2,4,8,0,47
720,2015,6,16,9,0,20
721,602,2,11,7,0,53
722,856,2,16,10,0,40
723,2320,2,8,7,0,47
724,1919,1,14,7,0,60
725,1671,2,15,6,0,65
726,1812,1,3,5,0,78
727,2043,3,6,8,0,45
728,1422,4,4,5,0,50
729,1255,2,15,7,0,53
730,1937,3,5,10,0,35
731,1115,1,15,6,0,75
732,2085,1,16,7,0,43
733,608,0,18,7,0,64
734,2520,4,15,8,0,27
735,2130,2,14,9,0,38
736,1979,3,11,12,0,35
737,2487,6,7,8,0,22
738,2965,6,9,9,0,0
739,2510,2,7,8,0,41
740,511,1,12,7,0,68
741,904,5,11,7,0,40
742,1362,3,8,8,0,50
743,1818,2,19,9,0,46
744,2162,0,4,6,0,69
745,1291,1,3,8,0,65
746,1930,3,16,10,0,10
747,1271,2,15,7,0,69
748,1371,3,16,7,0,52
749,815,1,6,7,0,72
750,1153,0,5,6,0,75
751,853,3,19,9,0,40
752,1116,2,8,7,0,52
753,2537,3,12,8,0,45
754,1135,1,16,8,0,51
755,3642,3,8,8,0,24
756,2145,4,9,8,0,34
757,1929,3,10,8,0,59
758,1199,3,13,7,0,49
759,2290,3,5,7,0,45
760,1397,3,5,8,0,40
761,1885,2,8,7,0,48
762,3592,5,17,11,0,0
763,1732,2,12,6,0,47
764,2604,3,9,5,0,37
765,1307,2,13,6,0,63
766,1775,2,4,7,0,67
767,3039,4,13,9,0,17
768,1361,2,10,6,0,70
769,3068,3,18,8,0,31
770,2295,3,13,9,0,26
771,1406,3,1,8,0,51
772,2242,2,4,8,0,51
773,2480,3,13,4,0,50
774,2235,3,1,7,0,51
775,700,5,13,10,0,23
776,1291,1,6,7,0,69
777,1626,1,9,6,0,62
778,1747,2,7,6,0,67
779,2234,5,18,10,0,1
780,1924,3,9,7,0,50
781,865,2,12,8,0,66
782,2066,2,12,7,0,37
783,2227,3,5,8,1,58
784,2191,2,11,9,0,32
785,2556,6,12,10,0,12
786,2383,3,13,9,0,22
787,2121,2,4,7,0,56
788,1750,2,8,7,0,59
789,637,5,15,9,0,37
790,2100,2,12,10,0,37
791,1945,2,5,7,0,51
792,1990,3,13,7,0,37
793,906,3,13,7,0,61
794,1043,1,2,5,0,83
795,2537,2,2,6,0,61
796,1772,5,17,8,0,27
797,2277,2,4,8,0,48
798,1819,2,10,6,0,54
799,1820,3,10,7,0,49
800,2456,6,12,9,0,19
801,1438,0,15,8,0,62
802,1867,2,5,9,0,58
803,1476,3,7,6,0,56
804,1495,7,19,11,0,0
805,1583,3,13,7,0,58
806,1955,3,12,10,0,34
807,1464,5,15,10,0,23
808,2679,3,8,8,0,51
809,1173,2,5,6,0,63
810,1669,5,21,8,0,26
811,1492,5,8,7,0,47
812,2812,1,0,9,0,59
813,1937,4,9,8,0,36
814,2522,5,18,7,0,29
815,760,2,0,4,0,81
816,1986,2,6,7,0,45
817,2422,2,14,7,0,43
818,1857,5,7,10,0,24
819,2545,3,12,8,0,48
820,1437,0,8,6,0,82
821,2786,2,10,8,0,53
822,3409,2,13,9,0,27
823,1546,0,1,6,0,69
824,1488,2,15,8,0,45
825,2817,4,6,10,0,11
826,2905,6,12,9,0,9
827,1433,3,9,7,0,50
828,1505,3,13,8,0,51
829,1602,2,2,8,0,62
830,858,2,18,8,0,53
831,1156,2,9,8,0,65
832,1097,3,15,6,0,52
833,1262,2,4,7,0,65
834,1775,2,7,4,0,69
835,1963,2,0,7,0,50
836,2885,5,18,11,0,0
837,1101,3,6,5,0,74
838,2489,2,4,8,0,34
839,1650,2,13,7,0,57
840,1765,6,0,9,0,38
841,2272,4,11,8,0,27
842,1014,1,18,7,0,60
843,2067,4,7,8,0,36
844,1916,2,5,7,0,69
845,2144,3,16,9,0,27
846,2002,1,3,6,0,71
847,3518,6,22,9,0,0
848,1353,3,17,8,0,38
849,1428,1,11,9,0,55
850,1363,3,6,7,0,59
851,1411,3,11,7,0,54
852,1353,2,9,8,0,64
853,2632,4,13,8,0,38
854,2794,2,12,8,0,44
855,1400,5,11,8,0,58
856,1217,2,7,7,0,58
857,2129,1,12,7,0,66
858,1413,1,20,7,0,48
859,2243,2,4,8,0,45
860,1942,2,14,8,0,45
861,738,5,16,9,0,24
862,2883,1,11,9,0,54
863,3057,4,14,10,0,9
864,1371,3,8,7,0,62
865,1528,4,13,7,0,45
866,2000,3,10,7,0,48
867,2034,8,20,10,0,0
868,2260,4,15,7,0,39
869,3207,1,0,8,0,48
870,1676,2,11,8,0,52
871,1241,2,11,6,0,59
872,834,6,20,11,0,16
873,1288,1,9,8,0,65
874,1776,0,5,7,0,60
875,3056,4,17,9,0,23
876,1437,5,10,8,0,40
877,1956,3,4,8,0,42
878,1788,0,11,6,0,58
879,2631,2,16,7,0,44
880,3568,3,9,8,0,26
881,1428,4,9,6,0,63
882,1457,0,14,7,0,67
883,2530,5,16,10,0,17
884,2277,3,10,6,0,44
885,3092,5,15,10,0,7
886,2208,3,6,9,0,28
887,1548,4,14,9,0,45
888,2213,2,0,9,0,36
889,2576,4,8,7,0,51
890,2374,7,15,9,0,14
891,2155,4,13,8,0,40
892,2546,2,8,8,0,50
893,2618,3,16,9,0,17
894,2767,2,11,6,0,65
895,2254,1,6,8,0,61
896,1683,3,10,8,0,51
897,1902,2,13,8,0,38
898,2644,2,12,9,0,34
899,1228,1,7,5,0,86
900,2058,1,16,8,0,52
901,1524,2,5,5,0,69
902,1820,2,18,9,0,53
903,2694,2,3,8,0,24
904,1933,1,3,6,0,63
905,1832,3,6,7,0,58
906,848,3,17,7,0,46
907,2322,7,13,11,0,1
908,2251,3,10,7,0,31
909,3314,2,3,6,0,39
910,1584,0,5,4,0,70
911,1953,0,6,6,0,82
912,1974,2,13,6,0,46
913,2904,4,14,8,0,31
914,1733,2,7,9,0,44
915,1995,3,4,6,0,54
916,2225,3,10,8,0,28
917,1930,2,19,9,0,39
918,1487,2,12,6,0,62
919,1935,5,8,9,0,47
920,2551,6,7,9,0,12
921,1081,5,9,9,0,35
922,1893,4,11,7,0,43
923,1309,1,15,7,0,60
924,2636,4,0,6,0,43
925,733,3,13,8,0,56
926,1408,2,5,6,0,63
927,2064,4,16,12,0,0
928,2895,1,10,6,0,59
929,1753,2,21,7,0,31
930,1411,3,12,8,0,55
931,3116,3,19,9,0,22
932,786,0,3,4,0,93
933,500,2,8,6,0,70
